document_id,document_type,identifier,title,date,url,exclusion_reason
15994,proclamation,7222,citizenship day and constitution week 1999,"September 16, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7222-citizenship-day-and-constitution-week-1999,observance_designation
15996,proclamation,7220,national hispanic heritage month 1999,"September 14, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7220-national-hispanic-heritage-month-1999,observance_designation
15999,proclamation,7216,minority enterprise development week 1999,"August 25, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7216-minority-enterprise-development-week-1999,observance_designation
16000,proclamation,7217,small manufacturing week 1999,"August 25, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7217-small-manufacturing-week-1999,public_commemoration
16001,proclamation,7215,womens equality day 1999,"August 24, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7215-womens-equality-day-1999,observance_designation
16004,proclamation,7213,national korean war veterans armistice day 1999,"July 26, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7213-national-korean-war-veterans-armistice-day-1999,memorial_half_staff
16005,proclamation,7211,parents day 1999,"July 23, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7211-parents-day-1999,observance_designation
16007,proclamation,7209,captive nations week 1999,"July 16, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7209-captive-nations-week-1999,public_commemoration
16011,proclamation,7205,fathers day 1999,"June 18, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7205-fathers-day-1999,observance_designation
16013,proclamation,7204,flag day and national flag week 1999,"June 11, 1999",https://www.presidency.ucsb.edu/documents/proclamation-7204-flag-day-and-national-flag-week-1999,public_commemoration
