case_id,child_id,assigned_family,all_child_families,candidate_label,parent_id,retrieval_sources,word5_score,word10_score,bm25_score,function_score,word5_rank,word10_rank,bm25_rank,function_rank
SHC006,5870,ieepa_action,ieepa_action,C05,5968,bm25|word10|word5,0.4384731650352478,0.3172569274902344,668.2448626558576,0.7910656929016113,1,1,1,6
SHC006,5870,ieepa_action,ieepa_action,C06,6425,bm25|function,0.12593072652816772,0.07451174408197403,467.18230409906056,0.8323836326599121,7,7,5,1
SHC006,5870,ieepa_action,ieepa_action,C07,5872,same_family_recent,0.005904999561607838,0.0,175.36162915976692,0.5368812084197998,68,3194,60,129
SHC006,5870,ieepa_action,ieepa_action,C08,6570,bm25|word10,0.14265722036361694,0.09067817032337189,472.41417174029965,,6,5,4,
SHC006,5870,ieepa_action,ieepa_action,C09,6162,bm25|function|word10|word5,0.19890166819095612,0.10934881865978241,520.2500218734814,0.8256508111953735,3,3,3,3
SHC007,6460,ieepa_action,ieepa_action,C01,6478,same_family_recent,0.0030764113180339336,0.0007909652194939554,196.7519746424018,0.533320426940918,28,13,47,323
SHC007,6460,ieepa_action,ieepa_action,C02,6657,bm25|word10|word5,0.12768365442752838,0.06714990735054016,630.7722005417788,,2,2,2,
SHC007,6460,ieepa_action,ieepa_action,C03,6613,bm25|function|word10|word5,0.03269689530134201,0.014782028272747993,328.4092910160609,0.7519232034683228,5,4,5,2
SHC007,6460,ieepa_action,ieepa_action,C04,6561,bm25|function|word10|word5,0.03301793709397316,0.011238745413720608,356.08278083981475,0.7429715394973755,4,5,4,3
SHC007,6460,ieepa_action,ieepa_action,C05,6570,bm25|word10|word5,0.30318304896354675,0.21635471284389496,862.9482810741005,,1,1,1,
SHC007,6460,ieepa_action,ieepa_action,C06,6544,same_family_recent,0.02094115875661373,0.005271336063742638,300.4795380427756,0.7244564294815063,6,6,7,6
SHC007,6460,ieepa_action,ieepa_action,C07,6595,function,0.019707735627889633,0.005271336063742638,311.5340488165339,0.7353115081787109,7,7,6,5
SHC007,6460,ieepa_action,ieepa_action,C08,6571,function,0.017454547807574272,0.0023891166783869267,295.84871942621214,0.7411917448043823,9,8,8,4
SHC007,6460,ieepa_action,ieepa_action,C09,6742,bm25|function|word10|word5,0.053959041833877563,0.018247433006763458,534.7568940410066,0.7888554334640503,3,3,3,1
SHC008,71,ieepa_action,ieepa_action,C01,216,word5,0.023385781794786453,0.007169002667069435,229.75529481674022,,5,7,15,
SHC008,71,ieepa_action,ieepa_action,C02,1481,function,0.009397786110639572,0.0,185.33826233086344,0.6255218982696533,175,1574,153,3
SHC008,71,ieepa_action,ieepa_action,C03,107,bm25|function,0.02330859936773777,0.009611503221094608,248.79494255598348,0.6658809185028076,6,6,4,1
SHC008,71,ieepa_action,ieepa_action,C04,95,word10,0.020760323852300644,0.009611503221094608,134.35554244070272,0.6133226156234741,11,5,1167,6
SHC008,71,ieepa_action,ieepa_action,C05,1684,function,0.008779122494161129,0.0,171.4611060135732,0.6195999979972839,191,1770,260,5
SHC008,71,ieepa_action,ieepa_action,C06,535,bm25|word10|word5,0.04302524775266647,0.02334224432706833,252.17694108452181,0.5364468097686768,1,1,3,223
SHC008,71,ieepa_action,ieepa_action,C07,90,function|word10,0.02119283378124237,0.010372782126069069,192.31458542021588,0.6245821714401245,9,4,117,4
SHC008,71,ieepa_action,ieepa_action,C08,562,word10|word5,0.029902106150984764,0.022144414484500885,158.2599174932496,0.36214479804039,4,2,479,8900
SHC008,71,ieepa_action,ieepa_action,C09,483,bm25|word10|word5,0.040269799530506134,0.014379861764609814,258.4651098323459,0.5292378664016724,2,3,2,324
SHC008,71,ieepa_action,ieepa_action,C10,341,bm25|word5,0.033717285841703415,0.00640864809975028,308.46587471841804,0.5776599645614624,3,13,1,19
SHC008,71,ieepa_action,ieepa_action,C11,92,same_family_recent,0.013226007111370564,0.0037934479769319296,177.7970996834348,0.5447604656219482,75,36,202,164
SHC008,71,ieepa_action,ieepa_action,C12,1325,function,0.004862790461629629,0.0005924105644226074,169.86830190139796,0.633887529373169,458,286,288,2
SHC008,71,ieepa_action,ieepa_action,C13,96,same_family_recent,0.012175647541880608,0.0037934479769319296,161.8375917594108,0.5019894242286682,100,38,405,1013
SHC008,71,ieepa_action,ieepa_action,C14,525,bm25,0.01978120766580105,0.001197830424644053,246.5741144580049,0.5892354249954224,14,197,5,11
