document_id,profile_rows,reason
8853,1,no_current_operative_provision
8868,1,no_current_operative_provision
8882,1,no_current_operative_provision
8941,1,no_current_operative_provision
8947,1,no_current_operative_provision
8986,1,no_current_operative_provision
9005,1,no_current_operative_provision
9010,1,no_current_operative_provision
9012,1,no_current_operative_provision
9031,1,no_current_operative_provision
9041,1,no_current_operative_provision
9057,1,no_current_operative_provision
9059,1,no_current_operative_provision
9070,2,no_current_operative_provision
9094,1,no_current_operative_provision
9113,1,no_current_operative_provision
9122,1,no_current_operative_provision
9163,1,no_current_operative_provision
9164,1,no_current_operative_provision
9182,2,no_current_operative_provision
9184,2,no_current_operative_provision
9191,1,no_current_operative_provision
9212,1,no_current_operative_provision
9213,1,no_current_operative_provision
9214,1,no_current_operative_provision
9234,2,no_current_operative_provision
9243,1,no_current_operative_provision
9263,1,no_current_operative_provision
9274,1,no_current_operative_provision
9278,1,no_current_operative_provision
9283,1,no_current_operative_provision
9291,2,no_current_operative_provision
9301,1,no_current_operative_provision
9312,1,no_current_operative_provision
9319,1,no_current_operative_provision
9321,1,no_current_operative_provision
9325,1,no_current_operative_provision
9327,1,no_current_operative_provision
9335,1,no_current_operative_provision
9339,1,no_current_operative_provision
9342,1,no_current_operative_provision
9349,1,no_current_operative_provision
9356,2,no_current_operative_provision
9363,1,no_current_operative_provision
9377,1,no_current_operative_provision
9383,1,no_current_operative_provision
9393,1,no_current_operative_provision
9400,1,no_current_operative_provision
9408,2,no_current_operative_provision
9414,1,no_current_operative_provision
9428,1,no_current_operative_provision
9429,1,no_current_operative_provision
9440,1,no_current_operative_provision
9451,1,no_current_operative_provision
9453,1,no_current_operative_provision
9483,1,no_current_operative_provision
9485,1,no_current_operative_provision
9487,1,no_current_operative_provision
9497,1,no_current_operative_provision
9499,1,no_current_operative_provision
9529,2,no_current_operative_provision
9551,1,no_current_operative_provision
9560,1,no_current_operative_provision
9561,1,no_current_operative_provision
9563,1,no_current_operative_provision
9564,1,no_current_operative_provision
9569,1,no_current_operative_provision
9580,1,no_current_operative_provision
9608,1,no_current_operative_provision
9615,1,no_current_operative_provision
9627,1,no_current_operative_provision
9634,1,no_current_operative_provision
9643,1,no_current_operative_provision
9646,1,no_current_operative_provision
9647,1,no_current_operative_provision
9658,1,no_current_operative_provision
9661,1,no_current_operative_provision
9663,1,no_current_operative_provision
9664,1,no_current_operative_provision
9675,1,no_current_operative_provision
9678,1,no_current_operative_provision
9680,1,no_current_operative_provision
9683,1,no_current_operative_provision
9685,1,no_current_operative_provision
9691,1,no_current_operative_provision
9693,1,no_current_operative_provision
9696,1,no_current_operative_provision
9700,1,no_current_operative_provision
9711,2,no_current_operative_provision
9714,1,no_current_operative_provision
9715,1,no_current_operative_provision
9716,1,no_current_operative_provision
9719,1,no_current_operative_provision
9720,1,no_current_operative_provision
9725,1,no_current_operative_provision
9728,1,no_current_operative_provision
9730,1,no_current_operative_provision
9735,1,no_current_operative_provision
9736,1,no_current_operative_provision
9737,1,no_current_operative_provision
9739,1,no_current_operative_provision
9744,1,no_current_operative_provision
9750,1,no_current_operative_provision
9753,1,no_current_operative_provision
9754,2,no_current_operative_provision
9755,1,no_current_operative_provision
9762,1,no_current_operative_provision
9763,1,no_current_operative_provision
9766,1,no_current_operative_provision
9768,1,no_current_operative_provision
9774,1,no_current_operative_provision
9782,1,no_current_operative_provision
9784,1,no_current_operative_provision
9793,1,no_current_operative_provision
9798,1,no_current_operative_provision
9799,1,no_current_operative_provision
9806,1,no_current_operative_provision
9809,1,no_current_operative_provision
9810,1,no_current_operative_provision
9811,2,no_current_operative_provision
9818,1,no_current_operative_provision
9822,1,no_current_operative_provision
9830,1,no_current_operative_provision
9840,1,no_current_operative_provision
9841,1,no_current_operative_provision
9843,1,no_current_operative_provision
9849,1,no_current_operative_provision
9859,1,no_current_operative_provision
9860,1,no_current_operative_provision
9861,1,no_current_operative_provision
9863,1,no_current_operative_provision
9872,1,no_current_operative_provision
9879,1,no_current_operative_provision
9890,2,no_current_operative_provision
9891,1,no_current_operative_provision
9903,1,no_current_operative_provision
9905,1,no_current_operative_provision
9906,1,no_current_operative_provision
9907,1,no_current_operative_provision
9912,2,no_current_operative_provision
9927,1,no_current_operative_provision
9929,1,no_current_operative_provision
9935,1,no_current_operative_provision
9939,1,no_current_operative_provision
9946,1,no_current_operative_provision
9959,1,no_current_operative_provision
9965,1,no_current_operative_provision
9971,1,no_current_operative_provision
9972,1,no_current_operative_provision
9976,1,no_current_operative_provision
9980,1,no_current_operative_provision
9996,1,no_current_operative_provision
9997,1,no_current_operative_provision
10031,1,no_current_operative_provision
10034,1,no_current_operative_provision
10035,1,no_current_operative_provision
10037,1,no_current_operative_provision
10061,1,no_current_operative_provision
10083,1,no_current_operative_provision
10092,1,no_current_operative_provision
10099,1,no_current_operative_provision
10101,1,no_current_operative_provision
10102,1,no_current_operative_provision
10118,1,no_current_operative_provision
10130,1,no_current_operative_provision
10179,1,no_current_operative_provision
10180,1,no_current_operative_provision
10197,1,no_current_operative_provision
10205,1,no_current_operative_provision
10206,1,no_current_operative_provision
10217,1,no_current_operative_provision
10223,1,no_current_operative_provision
10233,1,no_current_operative_provision
10240,1,no_current_operative_provision
10246,1,no_current_operative_provision
10262,1,no_current_operative_provision
10268,1,no_current_operative_provision
10269,1,no_current_operative_provision
10270,1,no_current_operative_provision
10288,2,no_current_operative_provision
10306,1,no_current_operative_provision
10324,1,no_current_operative_provision
10347,1,no_current_operative_provision
10348,1,no_current_operative_provision
10390,1,no_current_operative_provision
10398,1,no_current_operative_provision
10428,1,no_current_operative_provision
10430,1,no_current_operative_provision
10445,1,no_current_operative_provision
10454,1,no_current_operative_provision
10492,1,no_current_operative_provision
10505,1,no_current_operative_provision
10526,1,no_current_operative_provision
10529,1,no_current_operative_provision
10531,1,no_current_operative_provision
10537,2,no_current_operative_provision
10548,2,no_current_operative_provision
10552,1,no_current_operative_provision
10561,1,no_current_operative_provision
10573,1,no_current_operative_provision
10579,1,no_current_operative_provision
10594,1,no_current_operative_provision
10595,1,no_current_operative_provision
10606,1,no_current_operative_provision
10616,1,no_current_operative_provision
10619,1,no_current_operative_provision
10621,1,no_current_operative_provision
10641,1,no_current_operative_provision
10662,1,no_current_operative_provision
10674,1,no_current_operative_provision
10690,1,no_current_operative_provision
10700,1,no_current_operative_provision
10704,1,no_current_operative_provision
10706,1,no_current_operative_provision
10710,1,no_current_operative_provision
10713,1,no_current_operative_provision
10727,1,no_current_operative_provision
10728,1,no_current_operative_provision
10734,1,no_current_operative_provision
10746,1,no_current_operative_provision
10747,1,no_current_operative_provision
10748,1,no_current_operative_provision
10776,1,no_current_operative_provision
10784,1,no_current_operative_provision
10791,1,no_current_operative_provision
10848,1,no_current_operative_provision
10854,1,no_current_operative_provision
10859,1,no_current_operative_provision
10861,1,no_current_operative_provision
10864,1,no_current_operative_provision
10868,1,no_current_operative_provision
10885,1,no_current_operative_provision
10886,1,no_current_operative_provision
10906,1,no_current_operative_provision
10907,1,no_current_operative_provision
10908,1,no_current_operative_provision
10921,1,no_current_operative_provision
10922,1,no_current_operative_provision
10926,2,no_current_operative_provision
10931,1,no_current_operative_provision
10932,1,no_current_operative_provision
10938,1,no_current_operative_provision
10940,1,no_current_operative_provision
10958,1,no_current_operative_provision
10974,1,no_current_operative_provision
10976,1,no_current_operative_provision
10991,1,no_current_operative_provision
10992,1,no_current_operative_provision
11003,1,no_current_operative_provision
11004,1,no_current_operative_provision
11013,1,no_current_operative_provision
11014,1,no_current_operative_provision
11017,1,no_current_operative_provision
11026,1,no_current_operative_provision
11027,1,no_current_operative_provision
11028,1,no_current_operative_provision
11032,2,no_current_operative_provision
11056,1,no_current_operative_provision
11073,1,no_current_operative_provision
11079,1,no_current_operative_provision
11084,1,no_current_operative_provision
11111,1,no_current_operative_provision
11119,1,no_current_operative_provision
11133,1,no_current_operative_provision
11151,1,no_current_operative_provision
11205,1,no_current_operative_provision
11206,1,no_current_operative_provision
11214,1,no_current_operative_provision
11230,1,no_current_operative_provision
11253,1,no_current_operative_provision
11266,1,no_current_operative_provision
11283,1,no_current_operative_provision
11284,1,no_current_operative_provision
11293,1,no_current_operative_provision
11313,1,no_current_operative_provision
11347,1,no_current_operative_provision
11350,1,no_current_operative_provision
11374,1,no_current_operative_provision
11448,1,no_current_operative_provision
11449,1,no_current_operative_provision
