url,extracted_vesting_clause,directive_type,year,administration
https://www.presidency.ucsb.edu/documents/proclamation-8339-national-sanctity-human-life-day-2009,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2009,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8315-national-adoption-month-2008,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2008,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8313-national-american-indian-heritage-month-2008,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2008,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8297-national-breast-cancer-awareness-month-2008,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2008,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8262-caribbean-american-heritage-month-2008,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2008,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8258-day-solidarity-with-the-cuban-people-2008,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2008,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8236-pan-american-day-and-pan-american-week-2008,"by virtue of the authority vested in me by the Constitution and the laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States",proclamation,2008,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8232-national-fair-housing-month-2008,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2008,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8223-irish-american-heritage-month-2008,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2008,George W. Bush (Second)
https://www.presidency.ucsb.edu/documents/proclamation-8221-american-red-cross-month-2008,"by virtue of the authority vested in me by the Constitution and laws of the United States, || Now, Therefore, I, George W. Bush, President of the United States of America and Honorary Chairman of the American Red Cross, by virtue of the authority vested in me by the Constitution and laws of the United States",proclamation,2008,George W. Bush (Second)
